2010-06-29 18:20:55 Notice: Notice (8): Undefined property: Activity::$Question in [/home/shishir/public_html/answers/app/controllers/activities_controller.php, line 29]
2010-06-29 18:28:42 Notice: Notice (8): Undefined property: View::$Session in [/home/shishir/public_html/answers/app/views/layouts/default.ctp, line 24]
2010-06-29 18:30:12 Notice: Notice (8): Undefined property: View::$Session in [/home/shishir/public_html/answers/app/views/layouts/default.ctp, line 24]
2010-06-29 18:30:33 Notice: Notice (8): Undefined property: View::$Session in [/home/shishir/public_html/answers/app/views/layouts/default.ctp, line 24]
2010-06-29 18:30:37 Notice: Notice (8): Undefined property: View::$Session in [/home/shishir/public_html/answers/app/views/layouts/default.ctp, line 24]
2010-06-29 18:36:38 Notice: Notice (8): Undefined variable: session in [/home/shishir/public_html/answers/app/views/users/login.ctp, line 2]
2010-06-29 19:16:01 Notice: Notice (8): Undefined property: View::$Session in [/home/shishir/public_html/answers/app/views/layouts/default.ctp, line 24]
2010-06-30 12:54:54 Notice: Notice (8): Undefined property: Watchlist::$Question in [/home/shishir/public_html/answers/app/controllers/watchlists_controller.php, line 29]
2010-07-01 17:25:26 Notice: Notice (8): Undefined property: View::$Paginator in [/home/shishir/public_html/answers/app/views/categories/index.ctp, line 5]
2010-08-02 19:28:50 Notice: Notice (8): Undefined index:  category_ids in [/home/shishir/public_html/answers/app/views/questions/edit.ctp, line 10]
2010-11-01 15:33:54 Notice: Notice (8): Undefined property: Watchlist::$Question in [/home/shishir/public_html/answers/app/controllers/watchlists_controller.php, line 29]
2010-11-01 16:17:44 Notice: Notice (8): Undefined variable: unresolve in [/home/shishir/public_html/answers/app/views/questions/unresolved.ctp, line 15]
2010-11-01 16:34:57 Notice: Notice (8): Undefined variable: unresolved in [/home/shishir/public_html/answers/app/views/questions/unresolved.ctp, line 15]
2010-11-01 16:34:57 Notice: Notice (8): Undefined variable: scripts_for_layout in [/home/shishir/public_html/answers/app/views/layouts/default.ctp, line 13]
2010-11-01 16:34:57 Notice: Notice (8): Undefined variable: content_for_layout in [/home/shishir/public_html/answers/app/views/layouts/default.ctp, line 39]
2010-11-01 16:45:57 Notice: Notice (8): Undefined property: View::$Paginator in [/home/shishir/public_html/answers/app/views/questions/unresolved.ctp, line 5]
2010-11-01 18:05:37 Notice: Notice (8): Undefined variable: channelData in [/home/shishir/public_html/answers/app/views/questions/rss/index.ctp, line 5]
2010-11-01 18:05:37 Notice: Notice (8): Undefined variable: items in [/home/shishir/public_html/answers/app/views/questions/rss/index.ctp, line 5]
2010-11-01 18:05:37 Notice: Notice (8): Use of undefined constant channel - assumed 'channel' in [/home/shishir/public_html/answers/app/views/questions/rss/index.ctp, line 7]
2010-11-02 18:01:29 Notice: Notice (8): Undefined property: QuestionsController::$Answer in [/home/shishir/public_html/answers/app/controllers/questions_controller.php, line 25]
2010-11-02 18:12:42 Notice: Notice (8): Undefined offset:  0 in [/home/shishir/public_html/answers/app/views/questions/view.ctp, line 44]
2010-11-02 18:13:10 Notice: Notice (8): Undefined offset:  0 in [/home/shishir/public_html/answers/app/views/questions/view.ctp, line 44]
2010-11-02 18:13:33 Notice: Notice (8): Undefined index:  content in [/home/shishir/public_html/answers/app/views/questions/view.ctp, line 44]
2010-11-02 18:14:39 Notice: Notice (8): Undefined index:  fname in [/home/shishir/public_html/answers/app/views/questions/view.ctp, line 44]
2010-11-02 18:14:58 Notice: Notice (8): Undefined index:  fname in [/home/shishir/public_html/answers/app/views/questions/view.ctp, line 44]
2010-11-02 18:15:11 Notice: Notice (8): Undefined index:  fname in [/home/shishir/public_html/answers/app/views/questions/view.ctp, line 44]
2010-11-02 18:15:28 Notice: Notice (8): Undefined index:  fname in [/home/shishir/public_html/answers/app/views/questions/view.ctp, line 44]
2010-11-24 17:59:04 Notice: Notice (8): Undefined index:  User in [/home/shishir/public_html/answers/app/views/questions_tags/tagsearch.ctp, line 26]
2010-11-24 17:59:04 Notice: Notice (8): Undefined variable: question in [/home/shishir/public_html/answers/app/views/questions_tags/tagsearch.ctp, line 26]
2010-11-24 18:00:20 Notice: Notice (8): Undefined index:  User in [/home/shishir/public_html/answers/app/views/questions_tags/tagsearch.ctp, line 26]
2010-11-24 18:00:20 Notice: Notice (8): Undefined variable: question in [/home/shishir/public_html/answers/app/views/questions_tags/tagsearch.ctp, line 26]
